,id,analysis_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
68,66aAqXbtPixOM1WDoEuhHb,https://api.spotify.com/v1/audio-analysis/66aAqXbtPixOM1WDoEuhHb,0.403,0.112,5,-18.53,1,0.0335,0.974,0.935,0.0933,0.13,84.813,182995,3,2
69,1BnYMsR1MIxPmMJe02Lot4,https://api.spotify.com/v1/audio-analysis/1BnYMsR1MIxPmMJe02Lot4,0.446,0.166,0,-15.492,0,0.0406,0.95,0.836,0.295,0.129,105.693,201966,4,1
70,0Bp4wVlm9sA88tMtbDG29p,https://api.spotify.com/v1/audio-analysis/0Bp4wVlm9sA88tMtbDG29p,0.523,0.204,0,-15.646,0,0.034,0.946,0.812,0.106,0.159,100.177,240082,4,1
71,1NTtrdg7DYCN42hMHRgAuH,https://api.spotify.com/v1/audio-analysis/1NTtrdg7DYCN42hMHRgAuH,0.585,0.155,10,-19.29,1,0.0873,0.962,0.814,0.129,0.24,182.102,206159,3,2
72,1QbgNds5Ye8BovkywTbliF,https://api.spotify.com/v1/audio-analysis/1QbgNds5Ye8BovkywTbliF,0.451,0.171,5,-14.732,1,0.0383,0.932,0.821,0.125,0.24,99.549,246720,3,2
73,4QJ4UWKHSgqPEofSerNqZI,https://api.spotify.com/v1/audio-analysis/4QJ4UWKHSgqPEofSerNqZI,0.505,0.158,6,-18.637,0,0.0379,0.969,0.908,0.0635,0.222,107.004,252154,4,1
74,5GuytCR8JGCn90ReWuhYvL,https://api.spotify.com/v1/audio-analysis/5GuytCR8JGCn90ReWuhYvL,0.491,0.101,10,-19.255,1,0.0313,0.919,0.42,0.0975,0.147,88.182,175745,4,1
75,5CX7Ndfp4IJT94jdKSdair,https://api.spotify.com/v1/audio-analysis/5CX7Ndfp4IJT94jdKSdair,0.456,0.225,8,-12.99,1,0.0345,0.974,0.769,0.104,0.232,111.577,221278,4,1
76,2cByyV8EU1bya9sT6BYRuR,https://api.spotify.com/v1/audio-analysis/2cByyV8EU1bya9sT6BYRuR,0.44,0.165,10,-16.95,1,0.0362,0.932,0.816,0.105,0.164,125.878,155881,4,1
77,6pGvi1k9FL1p27JwYDuB8S,https://api.spotify.com/v1/audio-analysis/6pGvi1k9FL1p27JwYDuB8S,0.3,0.151,5,-19.945,0,0.0342,0.974,0.96,0.183,0.207,107.952,178653,5,1
78,3AqqDd9zm7ZG8AFaveWYIm,https://api.spotify.com/v1/audio-analysis/3AqqDd9zm7ZG8AFaveWYIm,0.576,0.0928,5,-18.404,1,0.0343,0.911,0.745,0.0937,0.155,103.03,215918,4,1
79,7GZMIDtN9DLqluOtFy1mUs,https://api.spotify.com/v1/audio-analysis/7GZMIDtN9DLqluOtFy1mUs,0.495,0.106,2,-16.513,0,0.0338,0.959,0.896,0.11,0.0775,111.789,177521,4,1
80,4perVeAQ5hn68NDRx6nzey,https://api.spotify.com/v1/audio-analysis/4perVeAQ5hn68NDRx6nzey,0.434,0.177,7,-15.613,0,0.0365,0.958,0.817,0.0921,0.143,110.6,185302,4,1
81,3ObWIAbtVhxTPguDsHT9vf,https://api.spotify.com/v1/audio-analysis/3ObWIAbtVhxTPguDsHT9vf,0.432,0.137,8,-16.853,1,0.0318,0.96,0.906,0.121,0.111,89.117,267893,4,1
82,2ExRtsNPSx1XupyPBq7Wtr,https://api.spotify.com/v1/audio-analysis/2ExRtsNPSx1XupyPBq7Wtr,0.482,0.174,0,-13.495,1,0.0352,0.966,0.824,0.107,0.162,109.162,228625,4,1
83,0MYJbAm4cQxWzKVGmIp7KS,https://api.spotify.com/v1/audio-analysis/0MYJbAm4cQxWzKVGmIp7KS,0.447,0.2,9,-17.411,0,0.0324,0.938,0.839,0.103,0.113,109.947,231604,4,1
84,5QTHfZ4IKRREnuK7LKwoZS,https://api.spotify.com/v1/audio-analysis/5QTHfZ4IKRREnuK7LKwoZS,0.515,0.132,5,-18.161,0,0.0372,0.962,0.939,0.109,0.143,48.731,244579,4,1
