,realSum,person_capacity,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index_norm,rest_index_norm,room_shared_True,room_private_True,host_is_superhost_True,weekend_yes
277,213.79,2.0,0,0,10,99.0,1,4.74,0.38,16.3407910603414,9.499237567036111,0,1,1,0
278,108.66,2.0,0,0,9,86.0,1,16.93,5.7,4.901707708213477,2.5745226298491586,0,1,0,0
279,408.05,5.0,0,1,10,93.0,1,3.4,0.1,24.97487016002356,16.232250079408416,0,0,0,0
280,573.86,4.0,0,1,9,100.0,1,4.13,0.1,21.590832253395096,14.647024041273172,0,0,0,0
281,135.94,2.0,0,1,8,81.0,1,4.71,0.94,22.155253739367996,10.53120492279171,0,1,0,0
282,481.9,4.0,0,1,9,88.0,1,4.72,0.24,19.147605560964397,11.83303176635103,0,0,0,0
283,374.42,2.0,0,1,8,80.0,0,3.59,0.27,24.05640382239568,14.504071624939291,0,0,0,0
284,331.62,3.0,0,0,8,90.0,1,3.67,0.26,23.216941454793883,13.767559849011334,0,1,0,0
285,531.06,5.0,0,1,9,83.0,2,3.16,0.27,23.046457191329456,14.060276022862531,0,0,0,0
286,330.21,2.0,0,1,10,94.0,0,3.71,0.37,23.39011614098164,13.793993564584452,0,0,0,0
287,695.69,2.0,0,1,10,100.0,1,4.62,0.29,19.596681955419957,12.1273080661811,0,0,0,0
288,341.96,3.0,1,0,8,84.0,0,4.97,0.61,18.129531839636925,10.045320466670685,0,0,0,0
289,743.67,4.0,0,1,10,100.0,1,4.67,0.38,19.19610180657701,11.905795767086984,0,0,0,0
290,423.81,2.0,0,1,8,80.0,1,4.52,0.3,19.75915328857158,12.34874723303339,0,0,0,0
291,395.12,3.0,0,0,10,100.0,1,3.52,0.71,20.96734393445981,12.559847703509504,0,0,0,0
292,450.86,2.0,0,0,10,100.0,1,4.94,0.65,18.40250829767987,10.05384583492454,0,0,0,0
293,166.98,2.0,1,0,10,100.0,1,4.98,0.85,19.933672335388533,9.86379009282801,0,1,0,0
294,362.66,2.0,0,0,10,95.0,1,6.0,2.18,13.08720729994536,7.546464324733339,0,0,0,0
295,160.63,2.0,0,1,9,96.0,1,4.64,1.9,17.364670981908958,9.306892357817365,0,1,1,0
296,722.97,5.0,0,1,10,100.0,3,3.55,0.95,21.19553666619309,12.032038798046822,0,0,0,0
297,435.1,4.0,0,1,10,100.0,1,4.93,1.41,16.62052979558664,9.252463585224076,0,0,0,0
298,766.95,6.0,0,1,10,90.0,1,3.4,0.02,25.0383573721899,16.34124852353347,0,0,0,0
299,213.79,2.0,0,0,10,100.0,1,6.31,2.09,12.507037368817803,7.201936488675331,0,1,0,0
300,362.66,4.0,1,0,8,79.0,0,3.95,0.49,21.69340848507037,12.887442553782572,0,0,0,0
301,541.41,4.0,0,1,10,100.0,1,4.39,0.23,20.10656029840707,12.8814123081674,0,1,0,0
302,200.85,2.0,0,1,8,84.0,1,1.93,0.43,37.28976689373601,18.24962024514156,0,1,0,0
303,308.33,2.0,0,1,9,95.0,1,4.32,0.23,20.39090169166643,13.25052849868626,0,1,0,0
304,357.49,2.0,0,1,10,98.0,1,4.27,0.25,20.586573493146552,13.408996706620217,0,1,0,0
305,191.68,3.0,0,1,9,83.0,1,4.03,0.5,25.708942427310205,17.49595821042419,0,1,0,0
306,132.18,2.0,1,0,10,100.0,1,5.1,0.95,14.896428004628062,8.101048427983,0,1,0,0
307,181.33,3.0,0,1,9,95.0,1,2.33,0.16,30.96098678880848,18.11906849683504,0,1,0,0
308,420.99,5.0,0,1,8,80.0,2,4.47,0.33,19.26913508869527,12.10693095650743,0,0,0,0
309,795.41,4.0,0,1,9,94.0,2,6.46,1.71,12.326909786474287,7.114051529782974,0,0,0,0
310,187.68,2.0,1,0,10,98.0,1,3.66,0.27,24.029577179305143,12.71707081490473,0,1,0,0
311,383.36,2.0,0,0,10,100.0,1,3.3,1.31,22.47206258484984,10.983306697618,0,1,0,0
312,225.55,2.0,1,0,10,95.0,1,3.65,0.3,24.05983533102637,13.99457639159047,0,1,0,0
313,401.7,2.0,0,0,10,100.0,1,3.52,0.23,24.433244917231697,14.597572440674494,0,0,0,0
314,143.7,2.0,1,0,9,100.0,1,3.77,0.74,20.13968525001413,11.330715886181968,0,1,0,0
315,929.23,4.0,0,1,9,80.0,2,4.45,0.42,19.511824998623236,12.950110979488134,0,0,0,0
316,375.83,4.0,0,1,8,77.0,1,4.06,0.24,21.546023249193524,13.40737526451236,0,0,0,0
317,119.01,2.0,0,0,9,93.0,1,5.03,1.84,15.943113487099463,8.783079180091736,0,1,0,0
318,321.27,3.0,0,1,7,80.0,1,3.13,0.71,23.822781270198075,13.769134658020477,0,1,0,0
319,414.4,3.0,1,0,7,72.0,1,3.14,0.3,23.13984198116592,14.13199146718083,0,0,0,0
320,1059.53,4.0,1,0,10,100.0,2,6.17,1.36,13.042223604589404,7.429684401859305,0,0,0,0
321,505.19,4.0,0,1,8,100.0,0,3.82,0.43,22.459888642602674,13.27146027350735,0,0,0,0
322,187.92,3.0,0,1,9,95.0,1,3.61,0.91,20.68033731518301,11.841944146459028,0,1,0,0
